50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:106
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:107
50 , '12020220020202020202022002020202020202200220020203' , 4 , 270 330 990 6990 , rflink:110
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:111
236 , '11111111111111111111111111111111100100100100100100100111001001001111100111111111111111111111110010010010010010011111111111111111111111111111111111110011100100100111001001111111111111111111111100111001001001001001111100111110010010010012' , 3 , 450 930 6990 , rflink:112
50 , '01100101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:113
50 , '01100101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:116
50 , '12210202020202020202022102020202020202210221022103' , 4 , 240 330 990 6990 , rflink:117
50 , '01100101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:118
50 , '12210202020202020202022102020202020202210221020203' , 4 , 240 330 990 6990 , rflink:119
50 , '01100101010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:122
50 , '12210202020202020202022102020202020202210221020203' , 4 , 240 330 990 6990 , rflink:123
132 , '041213131213121312131213121312121313121213121312131312121312131213131212131312121313121213131213121312121313121213121312131213121315' , 6 , 30 120 210 1230 2700 6990 , rflink:1
132 , '030102020102010201020102010201010202010102010201020201010201020102020101020201010202010102020102010201010202010102010201020102010204' , 5 , 120 210 1230 2700 6990 , rflink:4
232 , '1111111111111111111111111111111110010010010010010010011100100100111110011111111111111111111100100100100100111110011111111111111111111111111111111100111110011111110011100111001001110010011111111111111100111110011111111100100100111112' , 3 , 480 960 6990 , rflink:6
50 , '32112121212211221212121212121122112121212211212210' , 4 , 0 160 464 4472 , rflink:8
49 , '3200202020220022020202020202002200202020202020210' , 4 , 184 320 484 4448 , rflink:9
50 , '12020220020202020202022002020202020202200220020203' , 4 , 240 300 840 6990 , rflink:10
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 1020 6990 , rflink:12
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:15
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:16
50 , '01010110010101010101011001010101010101100110010102' , 3 , 300 990 6990 , rflink:17
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:20
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:21
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:22
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:23
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:26
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:27
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:28
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:29
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:30
50 , '12020220020202020220020202020202020202200220020203' , 4 , 300 360 990 6990 , rflink:31
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:34
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:35
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:36
50 , '01010110010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:37
50 , '01010110010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:40
50 , '01010110010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:41
50 , '01010110010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:42
50 , '01010110010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:43
50 , '12020202020202020202020202020202020202200220020203' , 4 , 270 330 990 6990 , rflink:44
50 , '01010101010101010101010101010101010101100110010102' , 3 , 330 990 6990 , rflink:47
50 , '01010101010101010101010101010101010101100110010102' , 3 , 330 990 6990 , rflink:48
50 , '01010101010101010101010101010101010101100110010102' , 3 , 330 990 6990 , rflink:49
50 , '01010101010101010101010101010101010101100110011002' , 3 , 300 990 6990 , rflink:50
50 , '12020202020202020202020202020202020202210221022103' , 4 , 240 330 990 6990 , rflink:53
50 , '12020202020202020202020202020202020202210221022103' , 4 , 240 330 990 6990 , rflink:54
50 , '01010101010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:55
50 , '01010110010101010101010101010101010101100110010102' , 3 , 330 990 6990 , rflink:56
50 , '12020220020202020202020202020202020202200220020203' , 4 , 270 330 990 6990 , rflink:59
50 , '01010110010101010101010101010101010101100110010102' , 3 , 330 990 6990 , rflink:60
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:61
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:64
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:65
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:66
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:67
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:70
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:71
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:72
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:73
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:76
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:77
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:78
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:79
50 , '12020220020202020202022002020202020202200220020203' , 4 , 270 330 990 6990 , rflink:82
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:83
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:84
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:85
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:86
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:87
50 , '12020220020202020202022002020202020202200220020203' , 4 , 270 330 990 6990 , rflink:90
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:91
236 , '11111111111111111111111111111111100100100100100100100111001001001111100111111111111111111111110010010010010010011111111111111111111111111111111111110011100100100111001001111111111111111111111100111001001001001001111100111110010010010012' , 3 , 450 930 6990 , rflink:92
50 , '01100101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:93
50 , '01100101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:96
50 , '12210202020202020202022102020202020202210221022103' , 4 , 240 330 990 6990 , rflink:97
50 , '01100101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:98
50 , '12210202020202020202022102020202020202210221020203' , 4 , 240 330 990 6990 , rflink:99
50 , '01100101010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:102
50 , '12210202020202020202022102020202020202210221020203' , 4 , 240 330 990 6990 , rflink:103
132 , '041213131213121312131213121312121313121213121312131312121312131213131212131312121313121213131213121312121313121213121312131213121315' , 6 , 30 120 210 1230 2700 6990 , rflink:1
132 , '030102020102010201020102010201010202010102010201020201010201020102020101020201010202010102020102010201010202010102010201020102010204' , 5 , 120 210 1230 2700 6990 , rflink:4
232 , '1111111111111111111111111111111110010010010010010010011100100100111110011111111111111111111100100100100100111110011111111111111111111111111111111100111110011111110011100111001001110010011111111111111100111110011111111100100100111112' , 3 , 480 960 6990 , rflink:6
50 , '32112121212211221212121212121122112121212211212210' , 4 , 0 160 464 4472 , rflink:8
49 , '3200202020220022020202020202002200202020202020210' , 4 , 184 320 484 4448 , rflink:9
50 , '12020220020202020202022002020202020202200220020203' , 4 , 240 300 840 6990 , rflink:10
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 1020 6990 , rflink:12
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:15
50 , '01010110010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:16
50 , '01010110010101010101011001010101010101100110010102' , 3 , 300 990 6990 , rflink:17
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:20
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:21
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:22
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:23
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:26
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:27
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:28
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:29
50 , '01010110010101010110010101010101010101100110011002' , 3 , 330 990 6990 , rflink:30
50 , '12020220020202020220020202020202020202200220020203' , 4 , 300 360 990 6990 , rflink:31
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:34
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:35
50 , '01010110010101010110010101010101010101100110010102' , 3 , 330 990 6990 , rflink:36
50 , '01010110010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:37
50 , '01010110010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:40
50 , '01010110010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:41
50 , '01010110010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:42
50 , '01010110010101010101010101010101010101100110011002' , 3 , 330 990 6990 , rflink:43
50 , '12020202020202020202020202020202020202200220020203' , 4 , 270 330 990 6990 , rflink:44
50 , '01010101010101010101010101010101010101100110010102' , 3 , 330 990 6990 , rflink:47
50 , '01010101010101010101010101010101010101100110010102' , 3 , 330 990 6990 , rflink:48
50 , '01010101010101010101010101010101010101100110010102' , 3 , 330 990 6990 , rflink:49
50 , '01010101010101010101010101010101010101100110011002' , 3 , 300 990 6990 , rflink:50
